date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:44	107019/107019	---M--	200	added ('OK')	image/jpeg	etag:W/%22107019-1437025252000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2021%20trophy%20gtcc%20143%20vs%20depc%20125-16072015-124052.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2021%20trophy%20gtcc%20143%20vs%20depc%20125-16072015-124052.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:44	7026/7026	---M--	200	added ('OK')	image/png	etag:W/%227026-1436655769000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2022_2015_t20_plate_drcc%20166%20vs%20aacc%2069_murphy-11072015-060243.png	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2022_2015_t20_plate_drcc%20166%20vs%20aacc%2069_murphy-11072015-060243.png	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:45	2545/2545	---M--	200	added ('OK')	image/jpeg	etag:W/%222545-1436938523000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2024_2015_t20_plate_ticc%20115-3%20in%2018.2%20ovrs%20vs%20aacc%20114-6%20in%2020%20ovrs_lyon%20oaks-15072015-123518.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2024_2015_t20_plate_ticc%20115-3%20in%2018.2%20ovrs%20vs%20aacc%20114-6%20in%2020%20ovrs_lyon%20oaks-15072015-123518.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:49	121006/121006	---M--	200	added ('OK')	image/jpeg	etag:W/%22121006-1436585367000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2022%20shield-2015%20gpan%20134%20vs%20trce%2084-10072015-102927.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2022%20shield-2015%20gpan%20134%20vs%20trce%2084-10072015-102927.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:35:49	2414/2414	---M--	200	added ('OK')	image/jpeg	etag:W/%222414-1436938527000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2026_2015_t20_plate_rktr%20107-10%20in%2020%20ovrs%20vs%20rscc%20105-8%20in%2020%20ovrs_murphy-15072015-123519.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2026_2015_t20_plate_rktr%20107-10%20in%2020%20ovrs%20vs%20rscc%20105-8%20in%2020%20ovrs_murphy-15072015-123519.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:03	119951/119951	---M--	200	added ('OK')	image/jpeg	etag:W/%22119951-1436938518000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2024_2015_t20_plate_ticc%20115-3%20in%2018.2%20ovrs%20vs%20aacc%20114-6%20in%2020%20ovrs_lyon%20oaks-15072015-123518.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2024_2015_t20_plate_ticc%20115-3%20in%2018.2%20ovrs%20vs%20aacc%20114-6%20in%2020%20ovrs_lyon%20oaks-15072015-123518.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:04	2273/2273	---M--	200	added ('OK')	image/jpeg	etag:W/%222273-1436938527000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2023_2015_t20_plate_tcat%20183-8%20in%2020%20ovrs%20vs%20klcc%20131-6%20in%2020%20ovrs_mirage-15072015-123519.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2023_2015_t20_plate_tcat%20183-8%20in%2020%20ovrs%20vs%20klcc%20131-6%20in%2020%20ovrs_mirage-15072015-123519.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:04	117208/117208	---M--	200	added ('OK')	image/jpeg	etag:W/%22117208-1436938520000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2026_2015_t20_plate_rktr%20107-10%20in%2020%20ovrs%20vs%20rscc%20105-8%20in%2020%20ovrs_murphy-15072015-123519.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2026_2015_t20_plate_rktr%20107-10%20in%2020%20ovrs%20vs%20rscc%20105-8%20in%2020%20ovrs_murphy-15072015-123519.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:05	2080/2080	---M--	200	added ('OK')	image/jpeg	etag:W/%222080-1436938535000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2025_2015_t20_plate_mmxi%20140-8%20in%2020%20ovrs%20vs%20gttc%2060-10%20in%2012.2%20ovrs_murphy-15072015-123518.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2025_2015_t20_plate_mmxi%20140-8%20in%2020%20ovrs%20vs%20gttc%2060-10%20in%2012.2%20ovrs_murphy-15072015-123518.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:08	114088/114088	---M--	200	added ('OK')	image/jpeg	etag:W/%22114088-1436938520000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2023_2015_t20_plate_tcat%20183-8%20in%2020%20ovrs%20vs%20klcc%20131-6%20in%2020%20ovrs_mirage-15072015-123519.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2023_2015_t20_plate_tcat%20183-8%20in%2020%20ovrs%20vs%20klcc%20131-6%20in%2020%20ovrs_mirage-15072015-123519.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:09	2241/2241	---M--	200	added ('OK')	image/jpeg	etag:W/%222241-1437025262000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2024%20trophy%20rkte%20%20107%20vs%20detc%20106-16072015-124057.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2024%20trophy%20rkte%20%20107%20vs%20detc%20106-16072015-124057.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:16	71838/71838	---M--	200	added ('OK')	image/jpeg	etag:W/%2271838-1437025258000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2024%20trophy%20rkte%20%20107%20vs%20detc%20106-16072015-124057.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2024%20trophy%20rkte%20%20107%20vs%20detc%20106-16072015-124057.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:17	1895/1895	---M--	200	added ('OK')	image/jpeg	etag:W/%221895-1437025263000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2022%20trophy%20macc%20107%20vs%20ccou%20104-16072015-124056.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2022%20trophy%20macc%20107%20vs%20ccou%20104-16072015-124056.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:21	105486/105486	---M--	200	added ('OK')	image/jpeg	etag:W/%22105486-1436938522000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2025_2015_t20_plate_mmxi%20140-8%20in%2020%20ovrs%20vs%20gttc%2060-10%20in%2012.2%20ovrs_murphy-15072015-123518.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2025_2015_t20_plate_mmxi%20140-8%20in%2020%20ovrs%20vs%20gttc%2060-10%20in%2012.2%20ovrs_murphy-15072015-123518.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:21	2619/2619	---M--	200	added ('OK')	image/jpeg	etag:W/%222619-1437025266000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2023%20trophy%20trcc%20167%20vs%20pcck%2069%20a.o-16072015-124056.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2023%20trophy%20trcc%20167%20vs%20pcck%2069%20a.o-16072015-124056.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:23	86341/86341	---M--	200	added ('OK')	image/jpeg	etag:W/%2286341-1437025257000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2022%20trophy%20macc%20107%20vs%20ccou%20104-16072015-124056.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2022%20trophy%20macc%20107%20vs%20ccou%20104-16072015-124056.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:23	1861/1861	---M--	200	added ('OK')	image/jpeg	etag:W/%221861-1437025267000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2025%20trophy%20uncc%20103%20vs%20mmch%2088-16072015-124057.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2025%20trophy%20uncc%20103%20vs%20mmch%2088-16072015-124057.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
